serial,digits,pattern_name,pattern_detail,ebay_title
03375863,03375863,3 OF A KIND,3,3 Of A Kind 3s Fancy Serial Number $1 Dollar Bill 03375863 2021
03375863,03375863,A1Z26 LETTER MAPPING,repaired=OCCGEHFC; ignore0=CCGEHFC; zero_repairs=1,$1 Bill High-Signal Serial 03375863 2021
03375863,03375863,LEXICAL SIGNAL MATCHES,"words=[none]; names=[none]; brands=[none]; readable=[CGEH, GEHF, OCC, CGE, GEH, EHF]",$1 Bill High-Signal Serial 03375863 2021
03375863,03375863,HIGH-SIGNAL SCORE,35/100 (LOW) | lexical=18 pattern=16,$1 Bill High-Signal Serial 03375863 2021
04444439,04444439,5 IN A ROW,4,5 In A Row 4s  Fancy Serial Number $1 Bill 04444439 2021
04444439,04444439,MULTIPLE PAIRS,2 pairs,Multiple Pairs Fancy Serial Number $1 Dollar Bill 04444439 2021
04444439,04444439,A1Z26 LETTER MAPPING,repaired=ODDDDDCI; ignore0=DDDDDCI; zero_repairs=1,$1 Bill High-Signal Serial 04444439 2021
04444439,04444439,LEXICAL SIGNAL MATCHES,"words=[none]; names=[none]; brands=[none]; readable=[DDDDCI, ODD, DCI]",$1 Bill High-Signal Serial 04444439 2021
04444439,04444439,HIGH-SIGNAL SCORE,43/100 (MEDIUM) | lexical=9 pattern=32,$1 Bill High-Signal Serial 04444439 2021
70007691,70007691,FULL HOUSE,three 0s and two 7s,Full House Fancy Serial Number 70007691 $1 2021 One Dollar Bill
70007691,70007691,3 IN A ROW,0,3 In A Row 0s  Fancy Serial Number $1 Bill 70007691 2021
70007691,70007691,MULTIPLE PAIRS,2 pairs,Multiple Pairs Fancy Serial Number $1 Dollar Bill 70007691 2021
70007691,70007691,A1Z26 LETTER MAPPING,repaired=GOOOGFIA; ignore0=GGFIA; zero_repairs=3,$1 Bill High-Signal Serial 70007691 2021
70007691,70007691,LEXICAL SIGNAL MATCHES,"words=[none]; names=[none]; brands=[none]; readable=[OGFI, GOO, OOG, OGF, GFI, FIA]",$1 Bill High-Signal Serial 70007691 2021
70007691,70007691,HIGH-SIGNAL SCORE,34/100 (LOW) | lexical=13 pattern=18,$1 Bill High-Signal Serial 70007691 2021
12342024,12342024,4-DIGIT LADDER,consecutive sequential run,$1 Bill Fancy Serial Ladder 4 Digit Ladder Run 12342024 2021
12342024,12342024,FULL HOUSE,three 2s and two 4s,Full House Fancy Serial Number 12342024 $1 2021 One Dollar Bill
12342024,12342024,3 OF A KIND,2,3 Of A Kind 2s Fancy Serial Number $1 Dollar Bill 12342024 2021
12342024,12342024,MULTIPLE PAIRS,2 pairs,Multiple Pairs Fancy Serial Number $1 Dollar Bill 12342024 2021
12342024,12342024,A1Z26 LETTER MAPPING,repaired=ABCDBOBD; ignore0=ABCDBBD; zero_repairs=1,$1 Bill High-Signal Serial 12342024 2021
12342024,12342024,LEXICAL SIGNAL MATCHES,"words=[none]; names=[BOB]; brands=[none]; readable=[DBOB, BOBD, ABC, DBO, BOB, OBD]",$1 Bill High-Signal Serial 12342024 2021
12342024,12342024,HIGH-SIGNAL SCORE,45/100 (MEDIUM) | lexical=24 pattern=26,$1 Bill High-Signal Serial 12342024 2021
44464235,44464235,3 IN A ROW,4,3 In A Row 4s LEADING Fancy Serial Number $1 Bill 44464235 2021
44464235,44464235,4 OF A KIND,4,4 Of A Kind 4s Fancy Serial Number $1 Dollar Bill 44464235 2021
44464235,44464235,MULTIPLE PAIRS,2 pairs,Multiple Pairs Fancy Serial Number $1 Dollar Bill 44464235 2021
44464235,44464235,A1Z26 LETTER MAPPING,repaired=DDDFDBCE; ignore0=DDDFDBCE; zero_repairs=0,$1 Bill High-Signal Serial 44464235 2021
44464235,44464235,LEXICAL SIGNAL MATCHES,words=[none]; names=[none]; brands=[none]; readable=[BCE],$1 Bill High-Signal Serial 44464235 2021
44464235,44464235,HIGH-SIGNAL SCORE,36/100 (LOW) | lexical=7 pattern=24,$1 Bill High-Signal Serial 44464235 2021
55554143,55554143,FULL HOUSE - QUAD,four 5s and two 4s,Full House QUAD Fancy Serial Number 55554143 $1 2021 One Dollar Bill
55554143,55554143,4 IN A ROW,5,4 In A Row 5s LEADING Fancy Serial Number $1 Bill 55554143 2021
55554143,55554143,MULTIPLE PAIRS,3 pairs,Multiple Pairs Fancy Serial Number $1 Dollar Bill 55554143 2021
55554143,55554143,A1Z26 LETTER MAPPING,repaired=EEEEDADC; ignore0=EEEEDADC; zero_repairs=0,$1 Bill High-Signal Serial 55554143 2021
55554143,55554143,LEXICAL SIGNAL MATCHES,"words=[none]; names=[none]; brands=[none]; readable=[EEEEDA, EEEED, EEDAD, EDADC, EEDA, EDAD]",$1 Bill High-Signal Serial 55554143 2021
55554143,55554143,HIGH-SIGNAL SCORE,49/100 (MEDIUM) | lexical=32 pattern=26,$1 Bill High-Signal Serial 55554143 2021
85673107,85673107,NO NOTABLE PATTERN,,Fancy Serial Number $1 Bill 85673107 2021
85673107,85673107,A1Z26 LETTER MAPPING,repaired=HEFGCAOG; ignore0=HEFGCAG; zero_repairs=1,$1 Bill High-Signal Serial 85673107 2021
